HKD;2018;1;1000011000001110000110000011000;                                                                                                            
HKD;2018;2;0011000001100001111000011000000;                                                                                                            
HKD;2018;3;0011000001100000110000011000011;                                                                                                            
HKD;2018;4;1100101100000110000011000001100;                                                                                                            
HKD;2018;5;1000110000011000001101000111000;                                                                                                            
HKD;2018;6;0110000011000001110000110000010;                                                                                                            
HKD;2018;7;1101001100000110000011000001100;                                                                                                            
HKD;2018;8;0001100000110000011000001100000;                                                                                                            
HKD;2018;9;1110000110000011000001101000110;                                                                                                            
HKD;2018;10;1000011100001100100110000011000;                                                                                                            
HKD;2018;11;0011000001110000110001011000000;                                                                                                            
HKD;2018;12;1100000110000011000001101100110;                                                                                                            
HUF;2018;1;1000011000001110000110000011000;                                                                                                            
HUF;2018;2;0011000001100000111000011000000;                                                                                                            
HUF;2018;3;0011000001100011110000011000011;                                                                                                            
HUF;2018;4;1100001100000110000011000001110;                                                                                                            
HUF;2018;5;1000110000011000001110000111000;                                                                                                            
HUF;2018;6;0110000011000001100000110000010;                                                                                                            
HUF;2018;7;1001001100000110000011000001100;                                                                                                            
HUF;2018;8;0001100000110000011100001100000;                                                                                                            
HUF;2018;9;1110000110000011000001100000110;                                                                                                            
HUF;2018;10;0000011100001100000111100011000;                                                                                                            
HUF;2018;11;1111000001110000110001011000000;                                                                                                            
HUF;2018;12;1100000110000011000001111100111;                                                                                                            
INR;2018;1;1000011000001110000110000111000;                                                                                                            
INR;2018;2;0011000001100000111000011000000;                                                                                                            
INR;2018;3;0111000001100000110000011000111;                                                                                                            
INR;2018;4;1100001100000110000011000001110;                                                                                                            
INR;2018;5;1000110000011000001100000111000;                                                                                                            
INR;2018;6;0110000011000001100000110000010;                                                                                                            
INR;2018;7;1001001100000110000011000001100;                                                                                                            
INR;2018;8;0001100000110010011001001100000;                                                                                                            
INR;2018;9;1110000110000011000011100000110;                                                                                                            
INR;2018;10;0100011100001100001110000011000;                                                                                                            
INR;2018;11;0011001001110000110011111000000;                                                                                                            
INR;2018;12;1100000110000011000001101100110;                                                                                                            
JPY;2018;1;1110011100001110000110000011000;                                                                                                            
JPY;2018;2;0011000001110000111000011000000;                                                                                                            
JPY;2018;3;0011000001100000110010011000011;                                                                                                            
JPY;2018;4;1100001100000110000011000001110;                                                                                                            
JPY;2018;5;1011110000011000001100000111000;                                                                                                            
JPY;2018;6;0110000011000001100000110000010;                                                                                                            
JPY;2018;7;1001001100000111000011000001100;                                                                                                            
JPY;2018;8;0001100000110000011000001100000;                                                                                                            
JPY;2018;9;1110000110000011100001110000110;                                                                                                            
JPY;2018;10;0000011100001100000110000011000;                                                                                                            
JPY;2018;11;0011000001110000110001111000000;                                                                                                            
JPY;2018;12;1100000110000011000001111100111;                                                                                                            
MAD;2018;1;1000011000101110000110000011000;                                                                                                            
MAD;2018;2;0011000001100000111000011000000;                                                                                                            
MAD;2018;3;0011000001100000110000011000011;                                                                                                            
MAD;2018;4;1100001100000110000011000001100;                                                                                                            
MAD;2018;5;1000110000011000001100000111000;                                                                                                            
MAD;2018;6;0110000011000011100000110000010;                                                                                                            
MAD;2018;7;1001001100000110000011000001110;                                                                                                            
MAD;2018;8;0001100000110100011111101100000;                                                                                                            
MAD;2018;9;1110000110100011000001100000110;                                                                                                            
MAD;2018;10;0000011100001100000110000011000;                                                                                                            
MAD;2018;11;0011010001110000110111011000000;                                                                                                            
MAD;2018;12;1100000110000011000001101100110;                                                                                                            
MXN;2018;1;1000011000001110000110000011000;                                                                                                            
MXN;2018;2;0011100001100000111000011000000;                                                                                                            
MXN;2018;3;0011000001100000111000011000111;                                                                                                            
MXN;2018;4;1100001100000110000011000001100;                                                                                                            
MXN;2018;5;1000110000011000001100000111000;                                                                                                            
MXN;2018;6;0110000011000001100000110000010;                                                                                                            
MXN;2018;7;1001001100000110000011000001100;                                                                                                            
MXN;2018;8;0001100000110000011000001100000;                                                                                                            
MXN;2018;9;1110000110000011000001100000110;                                                                                                            
MXN;2018;10;0000011100001100000110000011000;                                                                                                            
MXN;2018;11;0111000001110000111001011000000;                                                                                                            
MXN;2018;12;1100000110010011000001101100110;                                                                                                            
NOK;2018;1;1000011000001110000110000011000;                                                                                                            
NOK;2018;2;0011000001100000111000011000000;                                                                                                            
NOK;2018;3;0011000001100000110000011000111;                                                                                                            
NOK;2018;4;1100001100000110000011000001100;                                                                                                            
NOK;2018;5;1000110001011000101110000111000;                                                                                                            
NOK;2018;6;0110000011000001100000110000010;                                                                                                            
NOK;2018;7;1001001100000110000011000001100;                                                                                                            
NOK;2018;8;0001100000110000011000001100000;                                                                                                            
NOK;2018;9;1110000110000011000001100000110;                                                                                                            
NOK;2018;10;0000011100001100000110000011000;                                                                                                            
NOK;2018;11;0011000001110000110001011000000;                                                                                                            
NOK;2018;12;1100000110000011000001111100111;                                                                                                            
NZD;2018;1;1100011000001110000110000011000;                                                                                                            
NZD;2018;2;0011010001100000111000011000000;                                                                                                            
NZD;2018;3;0011000001100000110000011000011;                                                                                                            
NZD;2018;4;1100001100000110000011001001100;                                                                                                            
NZD;2018;5;1000110000011000001100000111000;                                                                                                            
NZD;2018;6;0111000011000001100000110000010;                                                                                                            
NZD;2018;7;1001001100000110000011000001100;                                                                                                            
NZD;2018;8;0001100000110000011000001100000;                                                                                                            
NZD;2018;9;1110000110000011000001100000110;                                                                                                            
NZD;2018;10;0000011100001100000111000011000;                                                                                                            
NZD;2018;11;0011000001110000110001011000000;                                                                                                            
NZD;2018;12;1100000110000011000001101100110;                                                                                                            
PLN;2018;1;1000011000001110000110000011000;                                                                                                            
PLN;2018;2;0011000001100000111000011000000;                                                                                                            
PLN;2018;3;0011000001100000110000011000011;                                                                                                            
